open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1700365260000,0.706,0.707,0.706,0.707,3324.4,1700365319999,2347.4963,6,469.9,332.2193,0
1700365320000,0.706,0.707,0.706,0.706,143584.6,1700365379999,101503.2642,216,99611.3,70425.1891,0
1700365380000,0.707,0.707,0.706,0.706,5971.2,1700365439999,4217.8326,14,2165.4,1530.9378,0
1700365440000,0.707,0.707,0.706,0.707,2734.9,1700365499999,1932.6776,10,1838.2,1299.6074,0
1700365500000,0.706,0.707,0.706,0.706,4948.9,1700365559999,3498.1328,42,4209.4,2976.0458,0
1700365560000,0.706,0.707,0.706,0.707,44463.1,1700365619999,31434.9478,52,25559.3,18070.4251,0
1700365620000,0.708,0.708,0.706,0.706,139108.2,1700365679999,98348.9982,91,4847.7,3427.633,0
1700365680000,0.706,0.708,0.705,0.706,223686.2,1700365739999,158029.4394,269,107295.5,75813.7946,0
1700365740000,0.707,0.708,0.706,0.708,83499.3,1700365799999,59036.5266,79,43865.5,31015.4776,0
1700365800000,0.707,0.708,0.706,0.707,162151.6,1700365859999,114640.9378,173,61550.6,43516.5088,0
1700365860000,0.707,0.709,0.707,0.708,93473.1,1700365919999,66178.5471,509,82621.1,58496.6876,0
1700365920000,0.708,0.71,0.708,0.71,246221.9,1700365979999,174541.2641,584,194990.4,138259.1959,0
1700365980000,0.709,0.71,0.708,0.709,91301.5,1700366039999,64744.8568,140,44649.4,31669.6176,0
1700366040000,0.709,0.711,0.709,0.71,107009.5,1700366099999,75976.1854,145,41984.2,29809.8856,0
1700366100000,0.71,0.711,0.709,0.71,193980.7,1700366159999,137717.4955,285,77812.4,55260.1047,0
1700366160000,0.709,0.711,0.709,0.709,202706.5,1700366219999,143877.152,231,55407.5,39339.971,0
1700366220000,0.709,0.71,0.708,0.709,328067.3,1700366279999,232595.0507,273,113265.1,80310.8285,0
1700366280000,0.71,0.711,0.709,0.71,259310.8,1700366339999,184111.8714,256,136626.3,97014.0963,0
1700366340000,0.71,0.711,0.71,0.711,8461.2,1700366399999,6011.552,33,4100.0,2915.1,0
1700366400000,0.71,0.711,0.709,0.71,108843.0,1700366459999,77248.126,266,20332.0,14446.4491,0
1700366460000,0.709,0.71,0.708,0.709,93312.7,1700366519999,66156.3588,127,41478.9,29408.6961,0
1700366520000,0.709,0.71,0.709,0.709,7367.8,1700366579999,5223.838,20,67.8,48.138,0
1700366580000,0.71,0.71,0.708,0.708,197836.3,1700366639999,140254.3385,144,102285.9,72521.2543,0
1700366640000,0.709,0.71,0.708,0.709,161351.0,1700366699999,114390.1236,113,55173.6,39118.8716,0
1700366700000,0.709,0.709,0.708,0.708,2835.1,1700366759999,2008.4563,22,1205.5,854.6995,0
1700366760000,0.708,0.71,0.708,0.709,183238.1,1700366819999,129915.3255,168,131979.3,93573.5388,0
1700366820000,0.71,0.71,0.708,0.709,118133.0,1700366879999,83754.9167,179,11976.3,8499.0842,0
1700366880000,0.709,0.709,0.708,0.708,7606.9,1700366939999,5392.8908,33,7205.6,5108.7704,0
1700366940000,0.709,0.709,0.708,0.709,14973.9,1700366999999,10608.8649,52,7343.7,5206.6833,0
1700367000000,0.709,0.709,0.708,0.709,3119.3,1700367059999,2210.6147,33,2150.3,1524.5627,0
1700367060000,0.708,0.709,0.708,0.709,7580.4,1700367119999,5367.9954,13,1072.2,760.1898,0
